Year,Week,Address Block,Block,Trap,Trap type,Date,Mosquito number,Mosquito ID,WNV Present,Species,Lat,Lon
2019,39,100XX W OHARE AIRPORT,100,T910,GRAVID,2019-09-26 0:09,2,Res,negative,CULEX RESTUANS,,
2019,39,52XX S KOLMAR AVE,52,T114,GRAVID,2019-09-26 0:09,1,Res,negative,CULEX RESTUANS,41.79821073,-87.73692496
2019,39,58XX N WESTERN AVE,58,T028,GRAVID,2019-09-26 0:09,2,Res,negative,CULEX RESTUANS,41.98724461,-87.68941677
2019,39,39XX N SPRINGFIELD AVE,39,T228,GRAVID,2019-09-26 0:09,1,Res,negative,CULEX RESTUANS,41.95366415,-87.72498719
2019,39,131XX S BRANDON AVE,131,T209,GRAVID,2019-09-26 0:09,9,Res,negative,CULEX RESTUANS,41.65706888,-87.54604887
2019,39,21XX N CANNON DR,21,T054C,GRAVID,2019-09-26 0:09,2,Res,negative,CULEX RESTUANS,41.9217769,-87.63214045
2019,39,11XX W ROOSEVELT RD,11,T048,GRAVID,2019-09-26 0:09,3,Res,negative,CULEX RESTUANS,41.86691518,-87.65491884
2019,39,22XX W 51ST ST,22,T061,GRAVID,2019-09-26 0:09,2,Res,negative,CULEX RESTUANS,41.80104786,-87.68042473
2019,39,22XX N CANNON DR,22,T054A,GRAVID,2019-09-26 0:09,1,Ter,negative,CULEX TERRITANS,41.92273665,-87.63244997
2019,39,3XX W 104TH ST,3,T095,GRAVID,2019-09-26 0:09,1,Sal,negative,CULEX SALINARIUS,41.70532764,-87.63295537
2019,39,25XX W GRAND AVE,25,T046,GRAVID,2019-09-26 0:09,1,Res,negative,CULEX RESTUANS,41.89221998,-87.69169773
2019,39,82XX S KOSTNER AVE,82,T225,GRAVID,2019-09-26 0:09,1,Ter,negative,CULEX TERRITANS,41.74267048,-87.73155006
2019,39,1XX N CENTRAL PARK DR,1,T030,GRAVID,2019-09-26 0:09,1,Res,negative,CULEX RESTUANS,41.88377178,-87.71616837
2019,39,77XX S EBERHART AVE,77,T080,GRAVID,2019-09-26 0:09,8,Res,negative,CULEX RESTUANS,41.75414841,-87.61272102
2019,39,77XX S EBERHART AVE,77,T080,GRAVID,2019-09-26 0:09,1,Ter,negative,CULEX TERRITANS,41.75414841,-87.61272102
2019,39,4XX E 130TH ST,4,T221,GRAVID,2019-09-26 0:09,3,Pip,negative,CULEX PIPIENS,41.65923602,-87.61201513
2019,39,39XX S ASHLAND AVE,39,T074,GRAVID,2019-09-26 0:09,3,Ter,negative,CULEX TERRITANS,41.82085851,-87.6651081
2019,39,55XX S NARRAGANSETT AVE,55,T242,GRAVID,2019-09-26 0:09,1,Res,negative,CULEX RESTUANS,41.79168956,-87.78163597
2019,39,22XX N CANNON DR,22,T054B,GRAVID,2019-09-26 0:09,2,Ter,negative,CULEX TERRITANS,41.9220638,-87.63223306
2019,39,39XX S ASHLAND AVE,39,T074,GRAVID,2019-09-26 0:09,3,Res,negative,CULEX RESTUANS,41.82085851,-87.6651081
2019,39,25XX S MILLARD AVE,25,T152,GRAVID,2019-09-26 0:09,1,Ter,negative,CULEX TERRITANS,41.8457154,-87.7158986
2019,39,91XX W HIGGINS RD,91,T009,GRAVID,2019-09-26 0:09,4,Res,negative,CULEX RESTUANS,41.9885864,-87.85447335
2019,39,89XX S MUSKEGON AVE,89,T099,GRAVID,2019-09-26 0:09,3,Res,negative,CULEX RESTUANS,41.73318788,-87.55562869
2019,39,61XX W FULLERTON AVE,61,T013,GRAVID,2019-09-26 0:09,1,Ter,negative,CULEX TERRITANS,41.92388736,-87.77890991
2019,39,20XX N DOMINICK ST,20,T240,GRAVID,2019-09-26 0:09,1,Res,negative,CULEX RESTUANS,41.91867575,-87.66437444
2019,39,1XX N CENTRAL PARK DR,1,T030B,SENTINEL,2019-09-26 0:09,4,Res,negative,CULEX RESTUANS,41.8837113,-87.71609209
2019,39,17XX W 95TH ST,17,T094,GRAVID,2019-09-26 0:09,1,Res,negative,CULEX RESTUANS,41.7212875,-87.6652357
2019,39,71XX N HARLEM AVE,71,T233,GRAVID,2019-09-26 0:09,2,Res,negative,CULEX RESTUANS,42.01064327,-87.8067973
2019,39,82XX S KOSTNER AVE,82,T225,GRAVID,2019-09-26 0:09,2,Res,negative,CULEX RESTUANS,41.74267048,-87.73155006
2019,39,61XX W FULLERTON AVE,61,T013,GRAVID,2019-09-26 0:09,5,Res,negative,CULEX RESTUANS,41.92388736,-87.77890991
2019,39,70XX W ARMITAGE AVE,70,T151,GRAVID,2019-09-26 0:09,6,Res,negative,CULEX RESTUANS,41.91613472,-87.80109281
2019,39,62XX N MCCLELLAN AVE,62,T236,GRAVID,2019-09-26 0:09,3,Res,negative,CULEX RESTUANS,41.9949663,-87.77083722
2019,39,64XX S STONY ISLAND AVE,64,T077,GRAVID,2019-09-26 0:09,1,Res,negative,CULEX RESTUANS,41.77812886,-87.58624504
2019,39,25XX S MILLARD AVE,25,T152,GRAVID,2019-09-26 0:09,4,Res,negative,CULEX RESTUANS,41.8457154,-87.7158986
2019,39,9XX W GARFIELD BLVD,9,T226,GRAVID,2019-09-26 0:09,1,Res,negative,CULEX RESTUANS,41.79436648,-87.64892514
2019,39,41XX N OAK PARK AVE,41,T002,GRAVID,2019-09-26 0:09,1,Res,negative,CULEX RESTUANS,41.95629886,-87.79751745
2019,39,3XX W 104TH ST,3,T095,GRAVID,2019-09-26 0:09,2,Res,negative,CULEX RESTUANS,41.70532764,-87.63295537
2019,39,101XX S STONY ISLAND AVE,101,T138,GRAVID,2019-09-26 0:09,6,Res,negative,CULEX RESTUANS,41.7105424,-87.58455893
2019,39,3XX W 104TH ST,3,T095,GRAVID,2019-09-26 0:09,1,Ter,negative,CULEX TERRITANS,41.70532764,-87.63295537
2019,39,36XX N PITTSBURGH AVE,36,T011,GRAVID,2019-09-26 0:09,2,Res,negative,CULEX RESTUANS,41.94596109,-87.83294247
2019,39,89XX S CARPENTER ST,89,T159,GRAVID,2019-09-26 0:09,3,Res,negative,CULEX RESTUANS,41.73144686,-87.64972225
2019,39,10XX E 67TH ST,10,T073,GRAVID,2019-09-26 0:09,1,Res,negative,CULEX RESTUANS,41.7730854,-87.60016756
2019,38,36XX N PITTSBURGH AVE,36,T011,GRAVID,2019-09-19 0:09,1,Res,negative,CULEX RESTUANS,41.94596109,-87.83294247
2019,38,89XX S CARPENTER ST,89,T159,GRAVID,2019-09-19 0:09,3,Res,negative,CULEX RESTUANS,41.73144686,-87.64972225
2019,38,100XX W OHARE AIRPORT,100,T910,GRAVID,2019-09-19 0:09,3,Res,negative,CULEX RESTUANS,,
2019,38,22XX N CANNON DR,22,T054A,GRAVID,2019-09-19 0:09,2,Res,negative,CULEX RESTUANS,41.92273665,-87.63244997
2019,38,35XX W 51ST ST,35,T062,GRAVID,2019-09-19 0:09,1,Ter,negative,CULEX TERRITANS,41.80059709,-87.71173035
2019,38,35XX W 51ST ST,35,T062,GRAVID,2019-09-19 0:09,6,Res,negative,CULEX RESTUANS,41.80059709,-87.71173035
2019,38,13XX N LARAMIE AVE,13,T230,GRAVID,2019-09-19 0:09,2,Res,negative,CULEX RESTUANS,41.90477345,-87.75568575
